"site" "diam" "f1" "flatness" "elongation"
"1" "Beach" 4.38133 0.873660708159329 0.656226 0.20678
"2" "Beach" 4.32808 0.818131751402871 0.663549 0.141184
"3" "Beach" 4.31265 0.817019640930718 0.680692 0.186825
"4" "Beach" 4.16808 0.839586467813551 0.697975 0.15894
"5" "Beach" 4.16033 0.859435168862716 0.706315 0.145153
"6" "Beach" 4.11571 0.832112064949236 0.738445 0.250556
"7" "Beach" 4.068 0.886414757779774 0.657823 0.224796
"8" "Beach" 4.05472 0.857884109125905 0.721624 0.173676
"9" "Beach" 4.05162 0.806055916442407 0.736817 0.167463
"10" "Beach" 4.02101 0.818115323659218 0.747864 0.202492
"11" "Beach" 4.00671 0.831326715511307 0.751594 0.167412
"12" "Beach" 3.99613 0.74156923833607 0.75449 0.181523
"13" "Beach" 3.97343 0.770272937956823 0.785962 0.131844
"14" "Beach" 3.94264 0.852130721903054 0.719104 0.195983
"15" "Beach" 3.93753 0.57782524414768 0.780626 0.279118
"16" "Beach" 3.92885 0.887146971884896 0.337759 0.078564
"17" "Beach" 3.92647 0.885882427692491 0.266147 0.057762
"18" "Beach" 3.91088 0.866094694131694 0.698211 0.144347
"19" "Beach" 3.89958 0.840686468742823 0.740836 0.220281
"20" "Beach" 3.8972 0.775839784648455 0.385861 0.112488
"21" "Beach" 3.89689 0.733095669659518 0.787599 0.139294
"22" "Beach" 3.87871 0.852533197569744 0.355713 0.182566
"23" "Beach" 3.87092 0.864746524599349 0.306053 0.156635
"24" "Beach" 3.84337 0.751238686947034 0.735124 0.258832
"25" "Beach" 3.84158 0.75145500439993 0.806722 0.174403
"26" "Beach" 3.83405 0.79417371179361 0.783073 0.13961
"27" "Beach" 3.8336 0.866627919635652 0.390694 0.0732159999999999
"28" "Beach" 3.83006 0.871955243755732 0.693653 0.188162
"29" "Beach" 3.82654 0.786030907390093 0.758222 0.250075
"30" "Beach" 3.81453 0.802135883397663 0.774296 0.201903
"31" "Beach" 3.81279 0.905183118171474 0.237358 0.07719
"32" "Beach" 3.81177 0.749988984617682 0.812714 0.216837
"33" "Beach" 3.80893 0.853616516937385 0.29873 0.097598
"34" "Beach" 3.80661 0.839977347796323 0.737284 0.177215
"35" "Beach" 3.8038 0.890087027173048 0.313617 0.152556
"36" "Beach" 3.79976 0.897454926514285 0.23226 0.082522
"37" "Beach" 3.79778 0.811959576526939 0.776773 0.148297
"38" "Beach" 3.79767 0.784360770453598 0.744783 0.22187
"39" "Beach" 3.7972 0.765931678096529 0.796533 0.182882
"40" "Beach" 3.79673 0.737849661609596 0.806528 0.195093
"41" "Beach" 3.79606 0.776613825157273 0.751054 0.089707
"42" "Beach" 3.79295 0.818304302480134 0.764565 0.168516
"43" "Beach" 3.78224 0.873900873295653 0.358175 0.106431
"44" "Beach" 3.78037 0.726833636139255 0.7984 0.191257
"45" "Beach" 3.7788 0.832287850388175 0.758619 0.177771
"46" "Beach" 3.77136 0.79011769561153 0.793694 0.197939
"47" "Beach" 3.77091 0.899118441934711 0.430584 0.054414
"48" "Beach" 3.77079 0.793171318727918 0.790101 0.126701
"49" "Beach" 3.76427 0.803198601464102 0.734792 0.214299
"50" "Beach" 3.75989 0.789477237959554 0.748917 0.204455
"51" "Beach" 3.75958 0.726361804442456 0.819343 0.138772
