"site" "crystallinity"
"1" "Wreck" 42.7167235494881
"2" "Wreck" 42.221843003413
"3" "Wreck" 41.6757679180887
"4" "Wreck" 42.4095563139932
"5" "Wreck" 41.617747440273
"6" "Wreck" 42.0511945392491
"7" "Wreck" 40.8907849829352
"8" "Wreck" 42.5085324232082
"9" "Wreck" 42.8498293515358
"10" "Wreck" 42.6825938566553
"11" "Beach" 43.8327645051195
"12" "Beach" 44.4505119453925
"13" "Beach" 46.6621160409556
"14" "Beach" 46.9351535836178
"15" "Beach" 49.2798634812287
"16" "Beach" 39.9897610921502
"17" "Beach" 41.3037542662116
"18" "Beach" 45.9488054607509
"19" "Beach" 46.641638225256
"20" "Beach" 45.8498293515358
