"replicate" "site" "mass"
"156" 56 "Wreck" 26.8
"157" 57 "Wreck" 27.8
"158" 58 "Wreck" 26.3
"159" 59 "Wreck" 24.8
"160" 60 "Wreck" 26.3
"161" 61 "Wreck" 21.7
"162" 62 "Wreck" 27.1
"163" 63 "Wreck" 25.4
"164" 64 "Wreck" 16.5
"165" 65 "Wreck" 27.3
"166" 66 "Wreck" 20.3
"167" 67 "Wreck" 28.3
"168" 68 "Wreck" 20.7
"169" 69 "Wreck" 23.3
"170" 70 "Wreck" 20.2
"171" 71 "Wreck" 22.6
"172" 72 "Wreck" 22.2
"173" 73 "Wreck" 26.8
"174" 74 "Wreck" 25.8
"175" 75 "Wreck" 19.4
"176" 76 "Wreck" 20.8
"177" 77 "Wreck" 33.4
"178" 78 "Wreck" 18.5
"179" 79 "Wreck" 20.4
"180" 80 "Wreck" 17.7
"181" 81 "Wreck" 29.5
"182" 82 "Wreck" 23.4
"183" 83 "Wreck" 18.3
"184" 84 "Wreck" 19.9
"185" 85 "Wreck" 24.9
"186" 86 "Wreck" 34.6
"187" 87 "Wreck" 19.9
"188" 88 "Wreck" 26.8
"189" 89 "Wreck" 31
"190" 90 "Wreck" 19.2
"191" 91 "Wreck" 26.1
"192" 92 "Wreck" 26.7
"193" 93 "Wreck" 29.6
"194" 94 "Wreck" 26.5
"195" 95 "Wreck" 26.4
"196" 96 "Wreck" 25.9
"197" 97 "Wreck" 27.1
"198" 98 "Wreck" 28
"199" 99 "Wreck" 24
"200" 100 "Wreck" 21.6
