"site" "replicate" "location" "wavenumber" "intensity" "id"
"34" "Beach" "01" "Inside" 3929.4938 1.00539 1
"35" "Beach" "01" "Inside" 3927.45462 1.00549 1
"36" "Beach" "01" "Inside" 3925.41544 1.00563 1
"37" "Beach" "01" "Inside" 3923.37627 1.00575 1
"38" "Beach" "01" "Inside" 3921.33709 1.00549 1
"39" "Beach" "01" "Inside" 3919.29791 1.00507 1
"40" "Beach" "01" "Inside" 3917.25873 1.00511 1
"41" "Beach" "01" "Inside" 3915.21956 1.00552 1
"42" "Beach" "01" "Inside" 3913.18038 1.00587 1
"43" "Beach" "01" "Inside" 3911.1412 1.00603 1
"44" "Beach" "01" "Inside" 3909.10203 1.00588 1
"45" "Beach" "01" "Inside" 3907.06285 1.00555 1
"46" "Beach" "01" "Inside" 3905.02367 1.00551 1
"47" "Beach" "01" "Inside" 3902.9845 1.00585 1
"48" "Beach" "01" "Inside" 3900.94532 1.00611 1
"49" "Beach" "01" "Inside" 3898.90614 1.00604 1
"50" "Beach" "01" "Inside" 3896.86697 1.00584 1
"51" "Beach" "01" "Inside" 3894.82779 1.00576 1
"52" "Beach" "01" "Inside" 3892.78861 1.00597 1
"53" "Beach" "01" "Inside" 3890.74944 1.00628 1
"54" "Beach" "01" "Inside" 3888.71026 1.0062 1
"55" "Beach" "01" "Inside" 3886.67108 1.00595 1
"56" "Beach" "01" "Inside" 3884.63191 1.00604 1
"57" "Beach" "01" "Inside" 3882.59273 1.00621 1
"58" "Beach" "01" "Inside" 3880.55355 1.00623 1
"59" "Beach" "01" "Inside" 3878.51437 1.00621 1
"60" "Beach" "01" "Inside" 3876.4752 1.00596 1
"61" "Beach" "01" "Inside" 3874.43602 1.00564 1
"62" "Beach" "01" "Inside" 3872.39684 1.00562 1
"63" "Beach" "01" "Inside" 3870.35767 1.00604 1
"64" "Beach" "01" "Inside" 3868.31849 1.00649 1
"65" "Beach" "01" "Inside" 3866.27931 1.00642 1
"66" "Beach" "01" "Inside" 3864.24014 1.0063 1
"67" "Beach" "01" "Inside" 3862.20096 1.00641 1
"68" "Beach" "01" "Inside" 3860.16178 1.00631 1
"69" "Beach" "01" "Inside" 3858.12261 1.00578 1
"70" "Beach" "01" "Inside" 3856.08343 1.00534 1
"71" "Beach" "01" "Inside" 3854.04425 1.00601 1
"72" "Beach" "01" "Inside" 3852.00508 1.00734 1
"73" "Beach" "01" "Inside" 3849.9659 1.0075 1
"74" "Beach" "01" "Inside" 3847.92672 1.00669 1
"75" "Beach" "01" "Inside" 3845.88754 1.00604 1
"76" "Beach" "01" "Inside" 3843.84837 1.00581 1
"77" "Beach" "01" "Inside" 3841.80919 1.00575 1
"78" "Beach" "01" "Inside" 3839.77001 1.00582 1
"79" "Beach" "01" "Inside" 3837.73084 1.00602 1
"80" "Beach" "01" "Inside" 3835.69166 1.00615 1
"81" "Beach" "01" "Inside" 3833.65248 1.00628 1
"82" "Beach" "01" "Inside" 3831.61331 1.00653 1
"83" "Beach" "01" "Inside" 3829.57413 1.00671 1
"84" "Beach" "01" "Inside" 3827.53495 1.00674 1
"85" "Beach" "01" "Inside" 3825.49578 1.00673 1
"86" "Beach" "01" "Inside" 3823.4566 1.00683 1
"87" "Beach" "01" "Inside" 3821.41742 1.00724 1
"88" "Beach" "01" "Inside" 3819.37825 1.00748 1
"89" "Beach" "01" "Inside" 3817.33907 1.00715 1
"90" "Beach" "01" "Inside" 3815.29989 1.00702 1
"91" "Beach" "01" "Inside" 3813.26072 1.00707 1
