"site" "Mn" "Mw"
"1" "Beach" 7.33 16.33
"2" "Beach" 10.9 30.4
"3" "Beach" 10.8 23.6
"4" "Beach" 23.5 140.4
"5" "Beach" 24.53 111.13
"6" "Beach" 51.87 128.67
"7" "Beach" 9.67 24.47
"8" "Beach" 7.63 15.13
"9" "Wreck" 45.03 130.03
"10" "Wreck" 62.3 158.47
"11" "Wreck" 75.03 177.07
"12" "Wreck" 27.07 79.53
"13" "Wreck" 24.83 78.9
